product_name,quantity
Ritchey Timberwolf Frameset - 2016,5
Surly Wednesday Frameset - 2016,0
Trek Fuel EX 8 29 - 2016,2
Heller Shagamaw Frame - 2016,1
Heller Shagamaw Frame - 2016,3
Surly Ice Cream Truck Frameset - 2016,0
Trek Remedy 29 Carbon Frameset - 2016,0
Trek Remedy 29 Carbon Frameset - 2016,1
Electra Townie Original 21D - 2016,2
Electra Cruiser 1 (24-Inch) - 2016,1
Electra Girl's Hawaii 1 (16-inch) - 2015/2016,4
Electra Moto 1 - 2016,3
Electra Townie Original 7D EQ - 2016,4
Pure Cycles Vine 8-Speed - 2016,2
Pure Cycles Vine 8-Speed - 2016,3
Pure Cycles Western 3-Speed - Women's - 2015/2016,5
Pure Cycles William 3-Speed - 2016,4
Electra Girl's Hawaii 1 (16-inch) - 2015/2016,0
Electra Townie Original 7D EQ - 2016,2
Surly Wednesday - 2017,2
Trek Farley Alloy Frameset - 2017,0
Trek Session DH 27.5 Carbon Frameset - 2017,2
Sun Bicycles Spider 3i - 2017,3
Haro Flightline One ST - 2017,5
Trek Stache 5 - 2017,2
Trek Fuel EX 9.8 29 - 2017,2
Trek Fuel EX 5 27.5 Plus - 2017,0
Trek Fuel EX 9.8 27.5 Plus - 2017,2
Trek Fuel EX 9.8 27.5 Plus - 2017,2
Haro SR 1.1 - 2017,1
Haro SR 1.2 - 2017,1
Trek Remedy 9.8 - 2017,0
Trek Emonda S 4 - 2017,2
Trek Emonda S 4 - 2017,5
Trek Domane SL 6 - 2017,4
Trek Domane SL 6 - 2017,4
Trek Silque SLR 8 Women's - 2017,2
Trek Silque SLR 8 Women's - 2017,2
Trek Domane S 6 - 2017,5
Trek Domane S 6 - 2017,5
Trek Emonda S 5 - 2017,1
Trek Madone 9.2 - 2017,1
Trek Domane S 5 Disc - 2017,0
Sun Bicycles ElectroLite - 2017,1
Trek Boone 7 - 2017,4
Trek Boone 7 - 2017,4
Trek Boone Race Shop Limited - 2017,4
Trek Boone Race Shop Limited - 2017,5
Sun Bicycles Lil Bolt Type-R - 2017,1
